IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.9.139.160,443,true,美国圣何塞,北美洲,美国圣何塞,13 ms,71706 kB/s
64.181.249.123,443,true,美国圣何塞,北美洲,美国圣何塞,13 ms,64930 kB/s
147.224.62.66,443,true,美国圣何塞,北美洲,美国圣何塞,13 ms,62499 kB/s
192.9.137.193,8443,true,美国圣何塞,北美洲,美国圣何塞,13 ms,54069 kB/s
167.234.221.72,443,true,美国圣何塞,北美洲,美国圣何塞,13 ms,52685 kB/s
132.226.114.132,39738,true,美国洛杉矶,北美洲,美国洛杉矶,9 ms,50528 kB/s
192.9.230.55,443,true,美国圣何塞,北美洲,美国圣何塞,14 ms,50123 kB/s
129.146.242.248,443,true,美国洛杉矶,北美洲,美国洛杉矶,10 ms,49743 kB/s
129.146.9.38,443,true,美国洛杉矶,北美洲,美国洛杉矶,9 ms,48028 kB/s
161.33.169.43,443,true,日本东京,亚太,日本东京,100 ms,21272 kB/s
161.33.178.148,443,true,日本东京,亚太,日本东京,119 ms,20721 kB/s
140.238.51.35,443,true,日本东京,亚太,日本东京,103 ms,20150 kB/s
131.186.61.121,443,true,日本东京,亚太,日本东京,123 ms,19574 kB/s
155.248.183.181,443,true,日本东京,亚太,日本东京,101 ms,18019 kB/s
140.238.45.24,443,true,日本东京,亚太,日本东京,100 ms,17806 kB/s
155.248.183.225,443,true,日本东京,亚太,日本东京,119 ms,16180 kB/s
161.33.167.63,443,true,日本东京,亚太,日本东京,124 ms,15975 kB/s
161.118.142.112,443,true,韩国首尔,亚太,韩国首尔,132 ms,16189 kB/s
161.118.138.87,443,true,韩国首尔,亚太,韩国首尔,149 ms,16152 kB/s
